,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,lastPrice,52weekHigh,52weekLow,tradedVolume,image
71,MSFT231215C00450000,1702674000,call,450,0,0.1,0.02,13,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
72,MSFT231215C00455000,1702674000,call,455,0,0.1,0.03,13,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
73,MSFT231215C00460000,1702674000,call,460,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
74,MSFT231215C00465000,1702674000,call,465,0,0.1,0.01,24,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
75,MSFT231215C00470000,1702674000,call,470,0,0.05,0.01,623,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
76,MSFT231215C00475000,1702674000,call,475,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
77,MSFT231215C00480000,1702674000,call,480,0,0.01,0.01,725,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
78,MSFT231215C00485000,1702674000,call,485,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
79,MSFT231215C00490000,1702674000,call,490,0,0.1,0.02,1,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
80,MSFT231215C00495000,1702674000,call,495,0,0.1,0.02,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
81,MSFT231215C00500000,1702674000,call,500,0,0.01,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
82,MSFT231215C00505000,1702674000,call,505,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
83,MSFT231215C00510000,1702674000,call,510,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
84,MSFT231215C00515000,1702674000,call,515,0,0.02,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
85,MSFT231215C00520000,1702674000,call,520,0,0.02,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
86,MSFT231215C00525000,1702674000,call,525,0,0.1,0.02,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
87,MSFT231215C00530000,1702674000,call,530,0,0.02,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
88,MSFT231215C00535000,1702674000,call,535,0,0.1,0.02,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
